cluster_id,concept,count
33,suicide prevention,1
33,poison control,1
34,medicine,3
34,entrepreneurship,2
34,coronavirus disease 2019 (covid-19),2
34,political science,2
34,world order,2
34,2019-20 coronavirus outbreak,2
34,sociology,2
34,public relations,2
34,economics,2
34,infectious disease (medical specialty),2
35,business,2
35,pandemic,2
35,industrial organization,2
35,coronavirus disease 2019 (covid-19),2
35,contingency,2
35,contingency plan,2
35,medicine,2
35,disease,2
35,pathology,2
35,new normal,2
36,vietnamese,2
36,resource-based view,2
36,dynamic capabilities,2
36,dynamism,1
36,resilience (materials science),1
36,knowledge management,1
36,business,1
36,organizational learning,1
36,context (archaeology),1
36,organizational behavior and human resources,1
37,coronavirus disease 2019 (covid-19),1
37,creativity,1
37,entrepreneurship,1
37,business,1
37,government (linguistics),1
37,hospitality,1
37,resilience (materials science),1
37,marketing,1
37,psychological resilience,1
37,social media,1
38,globe,2
38,pandemic,2
38,small business,1
38,business,1
38,revenue,1
38,marketing,1
38,government (linguistics),1
38,entrepreneurship,1
38,developing country,1
38,coronavirus disease 2019 (covid-19),1
39,sustainable business,2
39,green development,2
39,climate finance,2
39,carbon finance,2
39,green economy,1
39,sustainable development,1
39,sustainability,1
39,entrepreneurship,1
39,government (linguistics),1
39,business,1
40,promotion (chess),2
40,crisis management,2
40,hospitality,1
40,government (linguistics),1
40,hospitality industry,1
40,business,1
40,marketing,1
40,coronavirus disease 2019 (covid-19),1
40,public relations,1
40,economics,1
41,consumer behaviour,2
41,consumer information,2
41,presentation (obstetrics),2
41,sharing economy,2
41,purchasing,1
41,business,1
41,information sharing,1
41,advertising,1
41,marketing,1
41,affect (linguistics),1
42,socialization,2
42,accommodation,1
42,sharing economy,1
42,tourism,1
42,scopus,1
42,government (linguistics),1
42,business,1
42,public relations,1
42,marketing,1
42,political science,1
43,risk governance,2
43,hazard,1
43,natural hazard,1
43,risk management,1
43,stakeholder,1
43,resilience (materials science),1
43,risk analysis (engineering),1
43,terminology,1
43,business,1
43,risk assessment,1
44,hospitality,2
44,business operations,2
44,pandemic,1
44,business,1
44,government (linguistics),1
44,resilience (materials science),1
44,tourism,1
44,sustainability,1
44,marketing,1
44,coronavirus disease 2019 (covid-19),1
45,psychology,3
45,computer science,3
45,phone,2
45,philosophy,2
45,linguistics,2
45,social media,2
45,digital native,2
45,social skills,2
45,world wide web,2
45,medicine,2
46,employability,2
46,language policy,1
46,ideology,1
46,sociology,1
46,linguistics,1
46,literal and figurative language,1
46,pedagogy,1
46,political science,1
46,politics,1
46,law,1
47,contingency,2
47,crisis management,2
47,renting,1
47,business,1
47,tourism,1
47,term (time),1
47,contingency plan,1
47,coronavirus disease 2019 (covid-19),1
47,service (business),1
47,service provider,1
48,transformative learning,2
48,instructional leadership,2
48,value (mathematics),2
48,educational leadership,1
48,leadership development,1
48,originality,1
48,shared leadership,1
48,transactional leadership,1
48,leadership style,1
48,emotional intelligence,1
49,thematic analysis,2
49,pandemic,2
49,2019-20 coronavirus outbreak,2
49,coping (psychology),1
49,coronavirus disease 2019 (covid-19),1
49,romance,1
49,psychology,1
49,social psychology,1
49,severe acute respiratory syndrome coronavirus 2 (sars-cov-2),1
49,narrative,1
50,pandemic,2
50,2019-20 coronavirus outbreak,2
50,coronavirus disease 2019 (covid-19),1
50,context (archaeology),1
50,narrative,1
50,resilience (materials science),1
50,mental health,1
50,psychological resilience,1
50,psychology,1
50,nursing,1
51,generosity,2
51,gratification,2
51,eulogy,2
51,gratitude,2
51,openness to experience,2
51,pledge,1
51,normative,1
51,harm,1
51,subject (documents),1
51,sociology,1
52,value (mathematics),2
52,reciprocal,2
52,survey data collection,2
52,big data,1
52,marketing,1
52,tourism,1
52,hospitality,1
52,business,1
52,control (management),1
52,hospitality industry,1
53,sample (material),2
53,context (archaeology),1
53,psychology,1
53,pandemic,1
53,portuguese,1
53,autonomy,1
53,developmental psychology,1
53,medical education,1
53,perception,1
53,coronavirus disease 2019 (covid-19),1
54,pandemic,4
54,context (archaeology),2
54,early childhood education,2
54,sociology of education,2
54,pedagogy,2
54,early childhood,2
54,psychology,2
54,coronavirus disease 2019 (covid-19),2
54,sociology,2
54,political science,2
55,government (linguistics),1
55,educational attainment,1
55,psychology,1
55,livelihood,1
55,distance education,1
55,face (sociological concept),1
55,pedagogy,1
55,medical education,1
55,economic growth,1
55,sociology,1
56,pandemic,1
56,psychology,1
56,coronavirus disease 2019 (covid-19),1
56,learning disability,1
56,affect (linguistics),1
56,narrative,1
56,scale (ratio),1
56,special education,1
56,developmental psychology,1
56,medical education,1
57,learning management,2
57,competence (human resources),1
57,information and communications technology,1
57,phone,1
57,pandemic,1
57,psychology,1
57,distance education,1
57,coronavirus disease 2019 (covid-19),1
57,medical education,1
57,mathematics education,1
58,2019-20 coronavirus outbreak,2
58,coronavirus disease 2019 (covid-19),1
58,psychology,1
58,closure (psychology),1
58,stress (linguistics),1
58,severe acute respiratory syndrome coronavirus 2 (sars-cov-2),1
58,developmental psychology,1
58,medicine,1
58,virology,1
58,linguistics,1
59,multivariate analysis of variance,1
59,psychology,1
59,descriptive statistics,1
59,academic achievement,1
59,variance (accounting),1
59,structural equation modeling,1
59,mathematics education,1
59,affect (linguistics),1
59,applied psychology,1
59,educational technology,1
60,videoconferencing,1
60,distance education,1
60,the internet,1
60,psychology,1
60,government (linguistics),1
60,order (exchange),1
60,public relations,1
60,pedagogy,1
60,political science,1
60,multimedia,1
61,social distance,2
61,snowball sampling,1
61,psychology,1
61,phone,1
61,government (linguistics),1
61,medical education,1
61,qualitative research,1
61,cheating,1
61,coronavirus disease 2019 (covid-19),1
61,social psychology,1
62,association (psychology),2
62,coronavirus disease 2019 (covid-19),1
62,psychology,1
62,distance education,1
62,2019-20 coronavirus outbreak,1
62,severe acute respiratory syndrome coronavirus 2 (sars-cov-2),1
62,developmental psychology,1
62,stress (linguistics),1
62,medical education,1
62,medicine,1
63,contingency theory,2
63,manufacturing,2
63,business,1
63,supply chain,1
63,contingency,1
63,digital transformation,1
63,supply chain management,1
63,process management,1
63,process (computing),1
63,knowledge management,1
64,indonesian,1
64,medicine,1
64,traditional medicine,1
64,philosophy,1
64,linguistics,1
65,thematic analysis,2
65,spouse,2
65,connotation,2
65,active duty,1
65,duty,1
65,health care,1
65,psychology,1
65,medicine,1
65,nursing,1
65,family medicine,1
66,counterintuitive,2
66,sustainability,1
66,scopus,1
66,terminology,1
66,greenwashing,1
66,categorization,1
66,originality,1
66,relevance (law),1
66,public relations,1
66,marketing,1
67,green economy,2
67,qualitative analysis,2
67,circular economy,1
67,variety (cybernetics),1
67,government (linguistics),1
67,business,1
67,sign (mathematics),1
67,action (physics),1
67,quantitative analysis (chemistry),1
67,economics,1
68,globe,2
68,german,1
68,covert,1
68,transparency (behavior),1
68,categorization,1
68,narrative,1
68,political science,1
68,democracy,1
68,sociology,1
68,media studies,1
69,intangible cultural heritage,2
69,safeguarding,1
69,situated,1
69,negotiation,1
69,indigenous,1
69,construct (python library),1
69,government (linguistics),1
69,sustainability,1
69,cultural heritage,1
69,business,1
70,maldevelopment,1
70,politics,1
70,climate change,1
70,population,1
70,natural (archaeology),1
70,environmental resource management,1
70,perception,1
70,attribution,1
70,geography,1
70,government (linguistics),1
71,opposition (politics),2
71,incitement,2
71,fatherland,2
71,sedition,2
71,grassroots,1
71,rhetoric,1
71,political science,1
71,law,1
71,media studies,1
71,sociology,1
72,agency (philosophy),1
72,originality,1
72,diversity (politics),1
72,narrative,1
72,value (mathematics),1
72,sociology,1
72,career development,1
72,social capital,1
72,psychology,1
72,social psychology,1
73,infographic,2
73,digital storytelling,1
73,mathematics education,1
73,psychology,1
73,storytelling,1
73,pedagogy,1
73,multiculturalism,1
73,computer science,1
73,narrative,1
73,linguistics,1
74,wildlife tourism,2
74,wildlife,1
74,sustainable tourism,1
74,tourism,1
74,environmental planning,1
74,government (linguistics),1
74,geography,1
74,political science,1
74,environmental resource management,1
74,business,1
75,through-the-lens metering,2
75,transactional leadership,1
75,occupational stress,1
75,lens (geology),1
75,higher education,1
75,stress (linguistics),1
75,psychology,1
75,political science,1
75,social psychology,1
75,optics,1
76,memristor,2
76,control reconfiguration,2
76,physical neural network,2
76,neuromorphic engineering,1
76,computer science,1
76,artificial neural network,1
76,computer architecture,1
76,artificial intelligence,1
76,electronic engineering,1
76,embedded system,1
77,decoupling (probability),2
77,indonesian,1
77,business,1
77,state owned,1
77,accounting,1
77,finance,1
77,economics,1
77,market economy,1
77,philosophy,1
77,linguistics,1
78,constructive,2
78,action research,2
78,reflexivity,1
78,pedagogy,1
78,narrative,1
78,sociology,1
78,teacher education,1
78,narrative inquiry,1
78,social science,1
78,linguistics,1
79,focus group,1
79,thematic analysis,1
79,qualitative research,1
79,health care,1
79,population,1
79,telemedicine,1
79,nursing,1
79,government (linguistics),1
79,medicine,1
79,psychology,1
80,psychology,1
80,storytelling,1
80,cognition,1
80,autism,1
80,cognitive psychology,1
80,human–computer interaction,1
80,developmental psychology,1
80,computer science,1
80,narrative,1
80,philosophy,1
81,interpreter,1
81,spoken language,1
81,linguistics,1
81,psychology,1
81,hearing loss,1
81,audiology,1
81,computer science,1
81,medicine,1
81,philosophy,1
81,programming languagespoken language,1
82,digital transformation,1
82,european union,1
82,government (linguistics),1
82,population,1
82,process (computing),1
82,public relations,1
82,economic growth,1
82,political science,1
82,business,1
82,economics,1
83,mobile phone,2
83,information overload,1
83,anxiety,1
83,social media,1
83,psychology,1
83,social support,1
83,government (linguistics),1
83,applied psychology,1
83,social psychology,1
83,internet privacy,1
84,boredom,2
84,socialization,2
84,anger,1
84,psychology,1
84,affect (linguistics),1
84,mood,1
84,anxiety,1
84,social psychology,1
84,consumption (sociology),1
84,social science,1
85,sociocultural evolution,1
85,identity (music),1
85,context (archaeology),1
85,conversation,1
85,identification (biology),1
85,psychology,1
85,narrative,1
85,social psychology,1
85,developmental psychology,1
85,sociology,1
86,white (mutation),1
86,identification (biology),1
86,psychology,1
86,affect (linguistics),1
86,ethnic group,1
86,preference,1
86,social psychology,1
86,developmental psychology,1
86,ecology,1
86,biology,1
87,contingency,2
87,pandemic,1
87,coronavirus disease 2019 (covid-19),1
87,online learning,1
87,psychology,1
87,affect (linguistics),1
87,mathematics education,1
87,salient,1
87,medical education,1
87,higher education,1
88,institution,2
88,negotiation,1
88,narrative,1
88,face (sociological concept),1
88,coronavirus disease 2019 (covid-19),1
88,pandemic,1
88,sociology,1
88,qualitative research,1
88,higher education,1
88,space (punctuation),1
89,level design,2
89,mental health,1
89,space (punctuation),1
89,observational study,1
89,psychology,1
89,vegetation (pathology),1
89,urban green space,1
89,affect (linguistics),1
89,applied psychology,1
89,geography,1
90,ornamental plant,2
90,well-being,2
90,front (military),1
90,intervention (counseling),1
90,pride,1
90,geography,1
90,space (punctuation),1
90,socioeconomics,1
90,psychology,1
90,environmental health,1
91,transformative learning,3
91,corporate governance,2
91,urban planning,2
91,environmental planning,2
91,adaptive capacity,2
91,sustainability,2
91,capacity building,2
91,political science,2
91,sociology,2
91,environmental resource management,2
92,technostress,2
92,snowball sampling,2
92,self-efficacy,2
92,survey data collection,2
92,moderated mediation,2
92,stressor,1
92,psychology,1
92,affect (linguistics),1
92,mediation,1
92,structural equation modeling,1
93,modernization theory,1
93,public economics,1
93,business,1
93,tax reform,1
93,government (linguistics),1
93,economics,1
93,economic growth,1
93,linguistics,1
93,philosophy,1
94,business,1
94,marketing,1
94,government (linguistics),1
94,scale (ratio),1
94,knowledge management,1
94,public relations,1
94,linguistics,1
94,philosophy,1
94,physics,1
94,quantum mechanics,1
95,raw data,1
95,computer science,1
95,artificial intelligence,1
95,machine learning,1
95,big data,1
95,missing data,1
95,deep learning,1
95,data science,1
95,natural language processing,1
95,data mining,1
96,supply chain,1
96,blockchain,1
96,profitability index,1
96,business,1
96,harm,1
96,quality (philosophy),1
96,government (linguistics),1
96,industrial organization,1
96,supply chain management,1
96,profit (economics),1
97,textile industry,2
97,supply chain,1
97,business,1
97,supply chain management,1
97,context (archaeology),1
97,emerging markets,1
97,government (linguistics),1
97,viewpoints,1
97,marketing,1
97,industrial organization,1
98,sustainability,3
98,business,3
98,industrial organization,3
98,marketing,3
98,philosophy,3
98,ecology,3
98,linguistics,3
98,political science,3
98,supply chain,2
98,economics,2
99,sharing economy,2
99,textile industry,2
99,value (mathematics),2
99,circular economy,1
99,sustainability,1
99,business,1
99,clothing,1
99,incentive,1
99,government (linguistics),1
99,industrial organization,1
100,supply chain,2
100,business,2
100,originality,2
100,supply chain management,2
100,economics,2
100,marketing,2
100,industrial organization,2
100,qualitative research,2
100,sociology,2
100,computer science,2
101,supply chain,1
101,business,1
101,structural equation modeling,1
101,sustainability,1
101,chatbot,1
101,industrial organization,1
101,marketing,1
101,computer science,1
101,artificial intelligence,1
101,biology,1
102,circular economy,2
102,value (mathematics),2
102,sustainable business,2
102,triple bottom line,1
102,sustainability,1
102,mediation,1
102,context (archaeology),1
102,business,1
102,turkish,1
102,structural equation modeling,1
103,declaration,1
103,curriculum,1
103,environmental education,1
103,legislature,1
103,government (linguistics),1
103,indigenous,1
103,tanzania,1
103,political science,1
103,process (computing),1
103,economic growth,1
104,affect (linguistics),1
104,climate change,1
104,psychology,1
104,social psychology,1
104,communication,1
104,ecology,1
104,biologyaffect,1
105,foundation (evidence),2
105,sustainability,1
105,early childhood education,1
105,context (archaeology),1
105,environmental education,1
105,maltese,1
105,perception,1
105,psychology,1
105,developmental psychology,1
105,pedagogy,1
106,streaming data,2
106,factor (programming language),2
106,feature vector,2
106,feature selection,1
106,missing data,1
106,computer science,1
106,feature (linguistics),1
106,selection (genetic algorithm),1
106,data mining,1
106,quality (philosophy),1
107,thematic analysis,2
107,scarcity,2
107,circular economy,1
107,supply chain,1
107,institutional theory,1
107,government (linguistics),1
107,business,1
107,industrial organization,1
107,environmental economics,1
107,process management,1
108,technology assessment,2
108,scope (computer science),1
108,narrative,1
108,engineering ethics,1
108,political science,1
108,sociology,1
108,knowledge management,1
108,engineering,1
108,business,1
108,computer science,1
109,health professionals,2
109,danish,1
109,rehabilitation,1
109,mediation,1
109,nursing,1
109,psychology,1
109,medicine,1
109,health care,1
109,physical therapy,1
109,sociology,1
110,value (mathematics),2
110,articulation (sociology),2
110,politics,1
110,serendipity,1
110,corporate governance,1
110,agency (philosophy),1
110,action (physics),1
110,space (punctuation),1
110,fragmentation (computing),1
110,political science,1
111,preparedness,1
111,higher education,1
111,context (archaeology),1
111,psychology,1
111,rasch model,1
111,government (linguistics),1
111,distance education,1
111,medical education,1
111,mathematics education,1
111,pedagogy,1
112,pace,1
112,foreign language,1
112,perspective (graphical),1
112,psychology,1
112,mathematics education,1
112,digital media,1
112,pedagogy,1
112,online learning,1
112,czech,1
112,medical education,1
113,flipped classroom,2
113,blended learning,2
113,mathematics education,1
113,syntax,1
113,class (philosophy),1
113,panacea (medicine),1
113,computer science,1
113,independence (probability theory),1
113,active learning (machine learning),1
113,educational technology,1
114,internet access,1
114,distance education,1
114,china,1
114,rural area,1
114,the internet,1
114,economic growth,1
114,government (linguistics),1
114,poverty,1
114,business,1
114,political science,1
116,student engagement,2
116,psychology,1
116,indonesian,1
116,metacognition,1
116,thematic analysis,1
116,cognition,1
116,mathematics education,1
116,language acquisition,1
116,pedagogy,1
116,qualitative research,1
117,government (linguistics),1
117,coronavirus disease 2019 (covid-19),1
117,social media,1
117,narrative,1
117,pandemic,1
117,coding (social sciences),1
117,public relations,1
117,political science,1
117,sociology,1
117,social science,1
118,feature (linguistics),3
118,qualitative research,2
118,template,2
118,sociology,2
118,data science,2
118,computer science,2
118,social science,2
118,philosophy,2
118,craft,1
118,convention,1
119,qualitative research,1
119,computer science,1
119,sample (material),1
119,scholarship,1
119,coding (social sciences),1
119,linguistics,1
119,sociology,1
119,mathematics education,1
119,psychology,1
119,social science,1
120,sociology,4
120,philosophy,4
120,epistemology,3
120,organization studies,3
120,political science,3
120,politics,3
120,linguistics,3
120,law,3
120,value (mathematics),2
120,leverage (statistics),2
121,contingency theory,2
121,service (business),1
121,automation,1
121,contingency,1
121,computer science,1
121,service design,1
121,process management,1
121,knowledge management,1
121,service delivery framework,1
121,engineering,1
122,neuromorphic engineering,2
122,memristor,1
122,computer science,1
122,von neumann architecture,1
122,overhead (engineering),1
122,convolutional neural network,1
122,bottleneck,1
122,materials science,1
122,artificial neural network,1
122,biological system,1
123,ferroelectricity,1
123,topology (electrical circuits),1
123,reservoir computing,1
123,computer science,1
123,materials science,1
123,electrical engineering,1
123,engineering,1
123,optoelectronics,1
123,artificial intelligence,1
123,recurrent neural network,1
124,business,3
124,government (linguistics),3
124,economics,3
124,political science,3
124,law,3
124,linguistics,3
124,philosophy,3
124,procurement,2
124,industrial organization,2
124,marketing,2
125,circular economy,2
125,analytic hierarchy process,1
125,sustainability,1
125,supply chain,1
125,process management,1
125,certification,1
125,supply chain management,1
125,rank (graph theory),1
125,process (computing),1
125,government (linguistics),1
126,incentive,1
126,government (linguistics),1
126,supply chain,1
126,likert scale,1
126,resource (disambiguation),1
126,circular economy,1
126,business,1
126,engineering,1
126,process management,1
126,management science,1
127,procurement,2
127,government (linguistics),2
127,business,2
127,government procurement,2
127,marketing,2
127,computer science,2
127,linguistics,2
127,philosophy,2
127,scopus,1
127,originality,1
128,public sector,1
128,context (archaeology),1
128,business,1
128,circular economy,1
128,purchasing,1
128,portuguese,1
128,process (computing),1
128,environmental resource management,1
128,knowledge management,1
128,public relations,1
129,conceptual framework,2
129,procurement,1
129,status quo,1
129,context (archaeology),1
129,circular economy,1
129,business,1
129,government (linguistics),1
129,process (computing),1
129,qualitative research,1
129,process management,1
130,feature engineering,2
130,yield (engineering),1
130,feature (linguistics),1
130,geography,1
130,cartography,1
130,data mining,1
130,statistics,1
130,forestry,1
130,regional science,1
130,computer science,1
131,feature (linguistics),2
131,interpretability,1
131,machine learning,1
131,computer science,1
131,artificial intelligence,1
131,feature selection,1
131,process (computing),1
131,artificial neural network,1
131,model selection,1
131,data mining,1
132,implementation research,2
132,terminology,1
132,work (physics),1
132,computer science,1
132,public health,1
132,field (mathematics),1
132,community health,1
132,management science,1
132,knowledge management,1
132,public relations,1
133,muscle tension,1
133,terminology,1
133,rehabilitation,1
133,computer science,1
133,protocol (science),1
133,conversation,1
133,population,1
133,psychology,1
133,physical medicine and rehabilitation,1
133,speech recognition,1
134,government (linguistics),1
134,population,1
134,public health,1
134,intervention (counseling),1
134,program evaluation,1
134,medicine,1
134,business,1
134,medical education,1
134,psychology,1
134,public relations,1
135,psychosocial,1
135,adaptation (eye),1
135,psychological intervention,1
135,narrative,1
135,psychology,1
135,dementia,1
135,psychotherapist,1
135,medicine,1
135,psychiatry,1
135,neuroscience,1
136,digital divide,2
136,context (archaeology),1
136,china,1
136,digitization,1
136,government (linguistics),1
136,economics,1
136,digital transformation,1
136,business,1
136,financial inclusion,1
136,economic growth,1
137,audit,1
137,sociology,1
137,identity (music),1
137,structuring,1
137,epistemology,1
137,imperfect,1
137,function (biology),1
137,subject (documents),1
137,pedagogy,1
137,teacher education,1
138,lottery,2
138,disadvantaged,1
138,government (linguistics),1
138,revenue,1
138,context (archaeology),1
138,economics,1
138,public administration,1
138,public relations,1
138,political science,1
138,finance,1
139,subjectification,2
139,reflexivity,2
139,social inequality,2
139,intersectionality,2
139,gender mainstreaming,2
139,governmentality,1
139,sociology,1
139,higher education,1
139,inequality,1
139,vulnerability (computing),1
140,norwegian,1
140,duty,1
140,psychosocial,1
140,law,1
140,psychology,1
140,political science,1
140,sociology,1
140,pedagogy,1
140,philosophy,1
140,linguistics,1
141,economic shortage,1
141,context (archaeology),1
141,work (physics),1
141,psychology,1
141,pedagogy,1
141,mathematics education,1
141,sociology,1
141,engineering,1
141,geography,1
141,mechanical engineering,1
142,scientific literacy,2
142,critical literacy,2
142,critical discourse analysis,2
142,social practice,2
142,curriculum,1
142,agency (philosophy),1
142,vision,1
142,sociology,1
142,pedagogy,1
142,literacy,1
143,self-efficacy,2
143,novelty,1
143,closure (psychology),1
143,premise,1
143,entrepreneurship,1
143,multilevel model,1
143,knowledge management,1
143,business,1
143,marketing,1
143,creativity,1
144,liminality,1
144,refugee,1
144,meaning (existential),1
144,sociology,1
144,boredom,1
144,narrative,1
144,feeling,1
144,gender studies,1
144,space (punctuation),1
144,aesthetics,1
145,liminality,1
145,conceptualization,1
145,embodied cognition,1
145,sociology,1
145,identity (music),1
145,narrative,1
145,epistemology,1
145,relation (database),1
145,gender studies,1
145,aesthetics,1
146,perspective (graphical),1
146,space (punctuation),1
146,exploit,1
146,container (type theory),1
146,metaphor,1
146,epistemology,1
146,discipline,1
146,sociology,1
146,field (mathematics),1
146,computer science,1
147,value (mathematics),2
147,health services research,2
147,workforce,1
147,health administration,1
147,health care,1
147,affect (linguistics),1
147,psychology,1
147,nursing,1
147,workload,1
147,applied psychology,1
148,performative utterance,2
148,materiality (auditing),1
148,sociology,1
148,subject (documents),1
148,humanism,1
148,aesthetics,1
148,refugee,1
148,identity (music),1
148,narrative,1
148,ontology,1
149,hegemonic masculinity,2
149,harassment,1
149,narrative,1
149,masculinity,1
149,negotiation,1
149,gender studies,1
149,psychology,1
149,liminality,1
149,social psychology,1
149,hegemony,1
150,world englishes,2
150,blueprint,1
150,linguistics,1
150,computer science,1
150,engineering,1
150,philosophy,1
150,mechanical engineeringblueprint,1
151,grammar,1
151,linguistics,1
151,language acquisition,1
151,psychology,1
151,computer science,1
151,mathematics education,1
151,philosophy,1
152,perspective (graphical),1
152,identity (music),1
152,linguistics,1
152,sociology,1
152,english language,1
152,mathematics education,1
152,computer science,1
152,pedagogy,1
152,psychology,1
152,aesthetics,1
153,social media,2
153,computer science,2
153,psychology,2
153,world wide web,2
153,apprenticeship,1
153,service (business),1
153,sociology,1
153,multimedia,1
153,business,1
153,philosophy,1
154,teleology,1
154,interpretation (philosophy),1
154,artificial intelligence,1
154,word (group theory),1
154,computer science,1
154,linguistics,1
154,cognitive science,1
154,natural language processing,1
154,epistemology,1
154,philosophy,1
155,framing (construction),2
155,critical management studies,2
155,limiting,2
155,circular economy,2
155,metaphor,1
155,unpacking,1
155,ideology,1
155,sociology,1
155,sustainability,1
155,positive economics,1
156,computer science,1
156,encoder,1
156,holography,1
156,wavefront,1
156,electric field,1
156,convolutional neural network,1
156,residual,1
156,algorithm,1
156,fresnel diffraction,1
156,artificial neural network,1
157,pandemic,2
157,livelihood,1
157,government (linguistics),1
157,business,1
157,private sector,1
157,economic growth,1
157,economic recovery,1
157,coronavirus disease 2019 (covid-19),1
157,economics,1
157,agriculture,1
158,data redundancy,2
158,computer science,1
158,feature selection,1
158,data mining,1
158,scale (ratio),1
158,redundancy (engineering),1
158,mutual information,1
158,feature (linguistics),1
158,selection (genetic algorithm),1
158,artificial intelligence,1
159,vietnamese,2
159,employability,1
159,internship,1
159,human capital,1
159,psychology,1
159,structural equation modeling,1
159,higher education,1
159,social capital,1
159,pedagogy,1
159,sociology,1
160,psychology,1
160,social psychology,1
160,stress (linguistics),1
160,leisure time,1
160,physical activity,1
160,medicine,1
160,linguistics,1
160,philosophy,1
160,physical medicine and rehabilitationleisure time,1
161,attraction,1
161,ecological succession,1
161,succession planning,1
161,public relations,1
161,shared leadership,1
161,political science,1
161,management,1
161,psychology,1
161,business,1
161,transactional leadership,1
162,context (archaeology),1
162,pedagogy,1
162,context effect,1
162,sociology,1
162,psychology,1
162,medical education,1
162,geography,1
162,medicine,1
162,linguistics,1
162,philosophy,1
163,kappa,2
163,cohen's kappa,2
163,demographics,2
163,medicine,1
163,concordance,1
163,anesthesiology,1
163,american society of anesthesiologists,1
